Item,Category,Price,Rating,Shipping_Speed,Customer_Reviews
Artisan Coffee Beans,Beverages,18,4.8,Fast,150
Herbal Tea Sampler,Beverages,12,4.5,Standard,90
Sparkling Water (6 pack),Beverages,8,4.2,Fast,60
Craft Soda Variety,Beverages,15,4.6,Standard,120
Loose Leaf Tea,Beverages,20,4.4,Fast,80
Handmade Ceramic Mug,Home Goods,25,4.7,Standard,180
Woven Throw Blanket,Home Goods,45,4.3,Fast,110
Aromatic Candle,Home Goods,16,4.9,Standard,220
Minimalist Wall Art,Home Goods,30,4.1,Fast,70
Bamboo Cutting Board,Home Goods,22,4.5,Standard,140
Organic Olive Oil,Pantry Staples,14,4.6,Fast,160
Gourmet Pasta,Pantry Staples,10,4.2,Standard,95
Specialty Spices Set,Pantry Staples,28,4.7,Fast,200
Artisan Chocolate Bar,Pantry Staples,8,4.3,Standard,85
Dried Fruit Mix,Pantry Staples,12,4.4,Fast,105
Natural Lip Balm,Beauty & Wellness,7,4.8,Standard,170
Essential Oil Diffuser,Beauty & Wellness,35,4.5,Fast,130
Organic Face Mask,Beauty & Wellness,18,4.1,Standard,65
Handmade Soap Bar,Beauty & Wellness,10,4.6,Fast,155
Bamboo Toothbrush Set,Beauty & Wellness,15,4.2,Standard,75
Gardening Gloves,Outdoor & Garden,12,4.7,Standard,190
Seed Starter Kit,Outdoor & Garden,20,4.4,Fast,120
Solar Powered Garden Lights,Outdoor & Garden,30,4.9,Standard,215
Hand Trowel Set,Outdoor & Garden,18,4.3,Fast,95
Watering Can,Outdoor & Garden,25,4.5,Standard,135
Leather Journal,Stationery,28,4.6,Standard,165
Fountain Pen Set,Stationery,40,4.2,Fast,70
Watercolor Paint Set,Stationery,35,4.8,Standard,195
Calligraphy Brush Pens,Stationery,20,4.1,Fast,80
Recycled Paper Notebooks,Stationery,10,4.3,Standard,100
Wool Yarn Skein,Craft Supplies,15,4.7,Standard,225
Embroidery Kit,Craft Supplies,22,4.4,Fast,115
Polymer Clay Set,Craft Supplies,18,4.9,Standard,205
Knitting Needles Set,Craft Supplies,30,4.2,Fast,60
Fabric Markers,Craft Supplies,12,4.5,Standard,145
Dog Training Treats,Pet Care,10,4.8,Standard,185
Catnip Toy,Pet Care,6,4.6,Fast,150
Bird Feeder,Pet Care,20,4.3,Standard,90
Fish Tank Decor,Pet Care,15,4.1,Fast,70
Small Animal Bedding,Pet Care,18,4.4,Standard,120
Reusable Produce Bags,Eco-Friendly,12,4.7,Standard,175
Beeswax Food Wraps,Eco-Friendly,18,4.5,Fast,130
Bamboo Cutlery Set,Eco-Friendly,15,4.2,Standard,80
Stainless Steel Straws,Eco-Friendly,8,4.9,Fast,160
Compost Bin,Eco-Friendly,35,4.3,Standard,105
