TransactionID,TransactionDate,CustomerID,AccountType,TransactionType,Category,SubCategory,Amount,Balance,Region,Age,Income,Channel
TXN_1001,2023-01-15,Cust_101,Checking,Debit,Shopping,Online Shopping,75.5,1250.2,North,35,75000,Online
TXN_1002,2023-01-15,Cust_102,Savings,Credit,Income,Salary,2500,15000,South,28,50000,Online
TXN_1003,2023-01-16,Cust_103,Credit Card,Debit,Food,Dining Out,32.75,850.5,West,60,90000,POS
TXN_1004,2023-01-17,Cust_104,Checking,Debit,Utilities,Electricity,120.4,1129.8,East,42,80000,Online
TXN_1005,2023-01-18,Cust_105,Savings,Credit,Investment,Dividends,120,15120,North,31,60000,Online
TXN_1006,2023-01-19,Cust_106,Credit Card,Debit,Entertainment,Movies,25,825.5,South,55,110000,POS
TXN_1007,2023-01-20,Cust_107,Checking,Credit,Transfer,Internal Transfer,500,1629.8,West,24,40000,Branch
TXN_1008,2023-01-21,Cust_108,Savings,Debit,Fees,Bank Fees,5,15115,East,68,120000,Online
TXN_1009,2023-01-22,Cust_109,Credit Card,Credit,Rewards,Cashback,15.2,840.7,North,48,85000,Online
TXN_1010,2023-01-23,Cust_110,Checking,Debit,Shopping,Groceries,85.2,1544.6,South,39,70000,POS
TXN_1011,2023-01-24,Cust_111,Savings,Debit,Utilities,Rent,1500,13615,West,29,55000,Online
TXN_1012,2023-01-25,Cust_112,Credit Card,Credit,Income,Salary,3000,3840.7,East,51,95000,Online
TXN_1013,2023-01-26,Cust_113,Checking,Debit,Food,Coffee,7.8,316.8,North,22,30000,POS
TXN_1014,2023-01-27,Cust_114,Savings,Debit,Shopping,Online Shopping,125,13490,South,45,88000,Online
TXN_1015,2023-01-28,Cust_115,Credit Card,Debit,Entertainment,Concert,150,3690.7,West,33,65000,POS
TXN_1016,2023-01-29,Cust_116,Checking,Credit,Transfer,External Transfer,200,4016.8,East,58,105000,Branch
TXN_1017,2023-01-30,Cust_117,Savings,Debit,Fees,Service Fees,10,13480,North,26,45000,Online
TXN_1018,2023-01-31,Cust_118,Credit Card,Credit,Rewards,Points Redemption,25,3715.7,South,40,82000,Online
TXN_1019,2024-02-01,Cust_119,Checking,Debit,Utilities,Gas,80.9,3935.9,West,37,78000,Online
TXN_1020,2024-02-02,Cust_120,Savings,Credit,Income,Salary,2500,15980,East,62,115000,Online
TXN_1021,2024-02-03,Cust_121,Credit Card,Debit,Food,Groceries,65.4,3650.5,North,50,92000,POS
TXN_1022,2024-02-04,Cust_122,Checking,Debit,Shopping,Clothing,95,3555.5,South,23,35000,Online
TXN_1023,2024-02-05,Cust_123,Savings,Credit,Investment,Stock Sale,350,16330,West,47,89000,Online
TXN_1024,2024-02-06,Cust_124,Credit Card,Debit,Entertainment,Tickets,88,3562.5,East,30,58000,POS
TXN_1025,2024-02-07,Cust_125,Checking,Credit,Transfer,Internal Transfer,700,4262.5,North,53,100000,Branch
TXN_1026,2024-02-08,Cust_126,Savings,Debit,Fees,ATM Fees,2.5,16327.5,South,27,48000,ATM
TXN_1027,2024-02-09,Cust_127,Credit Card,Credit,Rewards,Travel Points,30,3592.5,West,41,81000,Online
TXN_1028,2024-02-10,Cust_128,Checking,Debit,Utilities,Internet,70.2,3522.3,East,65,125000,Online
TXN_1029,2024-02-11,Cust_129,Savings,Debit,Shopping,Books,22.5,16305,North,34,72000,Online
TXN_1030,2024-02-12,Cust_130,Credit Card,Debit,Food,Fast Food,18.7,3503.6,South,29,52000,POS
TXN_1031,2024-02-13,Cust_131,Checking,Credit,Income,Salary,2500,6003.6,West,57,98000,Online
TXN_1032,2024-02-14,Cust_132,Savings,Debit,Utilities,Mobile,55.8,16249.2,East,38,79000,Online
TXN_1033,2024-02-15,Cust_133,Credit Card,Debit,Entertainment,Sports,55,5948.6,North,49,87000,POS
TXN_1034,2024-02-16,Cust_134,Checking,Debit,Shopping,Electronics,250,5698.6,South,25,42000,Online
TXN_1035,2024-02-17,Cust_135,Savings,Credit,Investment,Bond Interest,75,16324.2,West,63,120000,Online
TXN_1036,2024-02-18,Cust_136,Credit Card,Debit,Fees,Late Fees,35,5663.6,East,32,61000,Online
TXN_1037,2024-02-19,Cust_137,Checking,Credit,Transfer,External Transfer,300,5963.6,North,54,102000,Branch
TXN_1038,2024-02-20,Cust_138,Savings,Debit,Utilities,Water,45.3,16278.9,South,36,76000,Online
TXN_1039,2024-02-21,Cust_139,Credit Card,Credit,Rewards,Statement Credit,20,5683.6,West,21,32000,Online
TXN_1040,2024-02-22,Cust_140,Checking,Debit,Food,Restaurant,42.5,5641.1,East,46,86000,POS
TXN_1041,2024-02-23,Cust_141,Savings,Debit,Shopping,Furniture,450,15828.9,North,67,130000,Online
TXN_1042,2024-02-24,Cust_142,Credit Card,Debit,Entertainment,Streaming,15.99,5625.11,South,31,59000,Online
TXN_1043,2024-02-25,Cust_143,Checking,Credit,Income,Salary,2500,8125.11,West,59,112000,Online
TXN_1044,2024-02-26,Cust_144,Savings,Debit,Utilities,Property Tax,2000,13828.9,East,43,83000,Online
TXN_1045,2024-02-27,Cust_145,Credit Card,Debit,Fees,Interest Charges,12.3,5612.81,North,24,38000,Online
TXN_1046,2024-02-28,Cust_146,Checking,Debit,Shopping,Gifts,60,5552.81,South,52,94000,Online
