OrderID,Product,ProductCategory,ProductType,UnitPrice,QuantityOrdered,DiscountPercent,SalesAmount,ProfitAmount,CustomerAge,CustomerSegment,CustomerRating,OrderDate,OrderSeason,DeliveryTimeDays,StoreLocation,StoreType,Region,PaymentMethod,ShippingMode
ORD2001,Laptop,Electronics,Technology,1200,1,0.05,1140,342,35,Professionals,4,2024-01-15,Winter,3,Downtown,Flagship,North,Credit Card,Express
ORD2002,Jeans,Clothing,Apparel,80,2,0.1,144,43.2,28,Young Adults,3,2024-01-15,Winter,5,Suburban,Mall,South,Debit Card,Standard
ORD2003,Coffee Table,Home Goods,Furniture,250,1,0,250,75,60,Seniors,5,2024-01-20,Winter,7,Rural,Outlet,West,Cash,Standard
ORD2004,Smartphone,Electronics,Technology,900,1,0.15,765,229.5,40,Professionals,4,2024-01-20,Winter,2,Online,Online,East,Online Payment,Express
ORD2005,T-Shirt,Clothing,Apparel,25,3,0,75,22.5,22,Young Adults,2,2024-01-25,Winter,4,Downtown,Flagship,North,Credit Card,Standard
ORD2006,Desk Lamp,Home Goods,Decor,40,2,0.05,76,22.8,55,Professionals,3,2024-01-25,Winter,6,Suburban,Mall,South,Debit Card,Standard
ORD2007,Tablet,Electronics,Technology,500,1,0.1,450,135,68,Seniors,5,2024-01-30,Winter,3,Rural,Outlet,West,Cash,Express
ORD2008,Sweater,Clothing,Apparel,60,2,0,120,36,31,Young Adults,4,2024-01-30,Winter,5,Online,Online,East,Online Payment,Standard
ORD2009,Vase,Home Goods,Decor,30,3,0.1,81,24.3,45,Professionals,3,2024-02-05,Spring,4,Downtown,Flagship,North,Credit Card,Standard
ORD2010,Headphones,Electronics,Technology,150,1,0,150,45,25,Young Adults,2,2024-02-05,Spring,2,Suburban,Mall,South,Debit Card,Express
ORD2011,Pants,Clothing,Apparel,70,2,0.15,119,35.7,62,Seniors,4,2024-02-10,Spring,6,Rural,Outlet,West,Cash,Standard
ORD2012,Cushion,Home Goods,Decor,20,4,0,80,24,38,Professionals,3,2024-02-10,Spring,7,Online,Online,East,Online Payment,Standard
ORD2013,Camera,Electronics,Technology,800,1,0.05,760,228,33,Young Adults,5,2024-02-15,Spring,3,Downtown,Flagship,North,Credit Card,Express
ORD2014,Jacket,Clothing,Apparel,100,1,0.1,90,27,48,Professionals,4,2024-02-15,Spring,5,Suburban,Mall,South,Debit Card,Standard
ORD2015,Rug,Home Goods,Furniture,300,1,0,300,90,70,Seniors,3,2024-02-20,Spring,7,Rural,Outlet,West,Cash,Standard
ORD2016,Smartwatch,Electronics,Technology,300,2,0.15,510,153,29,Young Adults,4,2024-02-20,Spring,2,Online,Online,East,Online Payment,Express
ORD2017,Dress,Clothing,Apparel,90,1,0,90,27,52,Professionals,5,2024-02-25,Spring,4,Downtown,Flagship,North,Credit Card,Standard
ORD2018,Mirror,Home Goods,Decor,50,2,0.05,95,28.5,65,Seniors,4,2024-02-25,Spring,6,Suburban,Mall,South,Debit Card,Standard
ORD2019,TV,Electronics,Technology,1500,1,0.1,1350,405,39,Professionals,3,2024-03-01,Spring,3,Rural,Outlet,West,Cash,Express
ORD2020,Skirt,Clothing,Apparel,40,3,0,120,36,26,Young Adults,2,2024-03-01,Spring,5,Online,Online,East,Online Payment,Standard
ORD2021,Chair,Home Goods,Furniture,150,1,0.1,135,40.5,42,Professionals,4,2024-03-05,Spring,7,Downtown,Flagship,North,Credit Card,Standard
ORD2022,Speaker,Electronics,Technology,200,2,0.05,380,114,58,Seniors,5,2024-03-05,Spring,2,Suburban,Mall,South,Debit Card,Express
ORD2023,Blouse,Clothing,Apparel,50,2,0.15,85,25.5,30,Young Adults,3,2024-03-10,Spring,4,Rural,Outlet,West,Cash,Standard
ORD2024,Blanket,Home Goods,Decor,60,1,0,60,18,47,Professionals,2,2024-03-10,Spring,6,Online,Online,East,Online Payment,Standard
ORD2025,Gaming Console,Electronics,Technology,400,1,0.05,380,114,69,Seniors,4,2024-03-15,Spring,3,Downtown,Flagship,North,Credit Card,Express
ORD2026,Shirt,Clothing,Apparel,45,2,0.1,81,24.3,27,Young Adults,3,2024-03-15,Spring,5,Suburban,Mall,South,Debit Card,Standard
ORD2027,Pillow,Home Goods,Decor,25,3,0,75,22.5,51,Professionals,5,2024-03-20,Spring,7,Rural,Outlet,West,Cash,Standard
ORD2028,Monitor,Electronics,Technology,350,1,0.15,297.5,89.25,41,Professionals,4,2024-03-20,Spring,2,Online,Online,East,Online Payment,Express
ORD2029,Shorts,Clothing,Apparel,35,2,0,70,21,23,Young Adults,2,2024-03-25,Spring,4,Downtown,Flagship,North,Credit Card,Standard
ORD2030,Candle,Home Goods,Decor,15,5,0.05,71.25,21.375,63,Seniors,3,2024-03-25,Spring,6,Suburban,Mall,South,Debit Card,Standard
ORD2031,Printer,Electronics,Technology,250,1,0.1,225,67.5,34,Young Adults,4,2024-04-01,Spring,3,Rural,Outlet,West,Cash,Express
ORD2032,Socks,Clothing,Apparel,10,10,0,100,30,49,Professionals,5,2024-04-01,Spring,5,Online,Online,East,Online Payment,Standard
ORD2033,Frame,Home Goods,Decor,18,4,0.15,61.2,18.36,29,Young Adults,3,2024-04-05,Spring,7,Downtown,Flagship,North,Credit Card,Standard
ORD2034,Mouse,Electronics,Technology,30,2,0.05,57,17.1,56,Seniors,2,2024-04-05,Spring,2,Suburban,Mall,South,Debit Card,Express
ORD2035,Trousers,Clothing,Apparel,75,1,0,75,22.5,37,Professionals,4,2024-04-10,Spring,4,Rural,Outlet,West,Cash,Standard
ORD2036,Throw Pillow,Home Goods,Decor,22,3,0.1,59.4,17.82,67,Seniors,5,2024-04-10,Spring,6,Online,Online,East,Online Payment,Standard
ORD2037,Keyboard,Electronics,Technology,80,2,0.05,152,45.6,24,Young Adults,3,2024-04-15,Spring,3,Downtown,Flagship,North,Credit Card,Express
ORD2038,Hat,Clothing,Apparel,20,5,0,100,30,43,Professionals,4,2024-04-15,Spring,5,Suburban,Mall,South,Debit Card,Standard
ORD2039,Clock,Home Goods,Decor,35,2,0.15,59.5,17.85,72,Seniors,3,2024-04-20,Spring,7,Rural,Outlet,West,Cash,Standard
ORD2040,External Hard Drive,Electronics,Technology,120,1,0.05,114,34.2,32,Young Adults,5,2024-04-20,Spring,2,Online,Online,East,Online Payment,Express
ORD2041,Hoodie,Clothing,Apparel,55,2,0,110,33,59,Seniors,4,2024-05-01,Summer,4,Downtown,Flagship,North,Credit Card,Standard
ORD2042,Ottoman,Home Goods,Furniture,120,1,0.1,108,32.4,28,Young Adults,3,2024-05-01,Summer,6,Suburban,Mall,South,Debit Card,Standard
ORD2043,Webcam,Electronics,Technology,60,3,0.15,153,45.9,46,Professionals,2,2024-05-05,Summer,3,Rural,Outlet,West,Cash,Express
ORD2044,Sunglasses,Clothing,Accessory,50,1,0,50,15,35,Professionals,4,2024-05-05,Summer,5,Online,Online,East,Online Payment,Standard
ORD2045,Side Table,Home Goods,Furniture,90,1,0.05,85.5,25.65,61,Seniors,5,2024-05-10,Summer,7,Downtown,Flagship,North,Credit Card,Standard
ORD2046,USB Drive,Electronics,Accessory,20,5,0.1,90,27,25,Young Adults,3,2024-05-10,Summer,2,Suburban,Mall,South,Debit Card,Express
ORD2047,Belt,Clothing,Accessory,30,2,0,60,18,33,Young Adults,2,2024-05-15,Summer,4,Rural,Outlet,West,Cash,Standard
ORD2048,Wall Art,Home Goods,Decor,70,1,0.15,59.5,17.85,50,Professionals,4,2024-05-15,Summer,6,Online,Online,East,Online Payment,Standard
ORD2049,Portable SSD,Electronics,Storage,200,1,0.05,190,57,66,Seniors,3,2024-05-20,Summer,3,Downtown,Flagship,North,Credit Card,Express
ORD2050,Scarf,Clothing,Accessory,40,3,0,120,36,27,Young Adults,5,2024-05-20,Summer,5,Suburban,Mall,South,Debit Card,Standard
ORD2051,Bookshelf,Home Goods,Furniture,180,1,0.1,162,48.6,44,Professionals,4,2024-06-01,Summer,7,Rural,Outlet,West,Cash,Standard
ORD2052,Wireless Charger,Electronics,Accessory,40,2,0.15,68,20.4,71,Seniors,3,2024-06-01,Summer,2,Online,Online,East,Online Payment,Express
ORD2053,Gloves,Clothing,Accessory,25,4,0,100,30,31,Young Adults,2,2024-06-05,Summer,4,Downtown,Flagship,North,Credit Card,Standard
ORD2054,Area Rug,Home Goods,Decor,120,1,0.05,114,34.2,48,Professionals,4,2024-06-05,Summer,6,Suburban,Mall,South,Debit Card,Standard
ORD2055,Wireless Mouse,Electronics,Accessory,35,2,0.1,63,18.9,64,Seniors,5,2024-06-10,Summer,3,Rural,Outlet,West,Cash,Express
ORD2056,Tie,Clothing,Accessory,30,3,0,90,27,26,Young Adults,3,2024-06-10,Summer,5,Online,Online,East,Online Payment,Standard
ORD2057,Coffee Maker,Home Goods,Appliance,100,1,0.15,85,25.5,39,Professionals,2,2024-06-15,Summer,7,Downtown,Flagship,North,Credit Card,Standard
ORD2058,External DVD Drive,Electronics,Accessory,50,2,0.05,95,28.5,57,Seniors,4,2024-06-15,Summer,2,Suburban,Mall,South,Debit Card,Express
ORD2059,Wallet,Clothing,Accessory,45,1,0,45,13.5,33,Young Adults,5,2024-06-20,Summer,4,Rural,Outlet,West,Cash,Standard
ORD2060,Toaster,Home Goods,Appliance,70,1,0.1,63,18.9,41,Professionals,3,2024-06-20,Summer,6,Online,Online,East,Online Payment,Standard
ORD2061,USB Hub,Electronics,Accessory,25,4,0.15,85,25.5,62,Seniors,2,2024-07-01,Summer,3,Downtown,Flagship,North,Credit Card,Express
ORD2062,Slippers,Clothing,Footwear,35,2,0,70,21,22,Young Adults,4,2024-07-01,Summer,5,Suburban,Mall,South,Debit Card,Standard
ORD2063,Blender,Home Goods,Appliance,90,1,0.05,85.5,25.65,54,Professionals,5,2024-07-05,Summer,7,Rural,Outlet,West,Cash,Standard
ORD2064,Card Reader,Electronics,Accessory,15,6,0.1,81,24.3,28,Young Adults,3,2024-07-05,Summer,2,Online,Online,East,Online Payment,Express
ORD2065,Sandal,Clothing,Footwear,40,3,0,120,36,45,Professionals,4,2024-07-10,Summer,4,Downtown,Flagship,North,Credit Card,Standard
ORD2066,Mixer,Home Goods,Appliance,110,1,0.15,93.5,28.05,69,Seniors,3,2024-07-10,Summer,6,Suburban,Mall,South,Debit Card,Standard
ORD2067,Power Bank,Electronics,Accessory,30,3,0.05,85.5,25.65,36,Young Adults,2,2024-07-15,Summer,3,Rural,Outlet,West,Cash,Express
ORD2068,Sneakers,Clothing,Footwear,70,1,0,70,21,51,Professionals,4,2024-07-15,Summer,5,Online,Online,East,Online Payment,Standard
ORD2069,Kettle,Home Goods,Appliance,60,2,0.1,108,32.4,60,Seniors,5,2024-07-20,Summer,7,Downtown,Flagship,North,Credit Card,Standard
ORD2070,SD Card,Electronics,Accessory,10,10,0.15,85,25.5,24,Young Adults,3,2024-07-20,Summer,2,Suburban,Mall,South,Debit Card,Express
ORD2071,Boots,Clothing,Footwear,90,1,0,90,27,47,Professionals,4,2024-08-01,Autumn,4,Rural,Outlet,West,Cash,Standard
ORD2072,Microwave,Home Goods,Appliance,150,1,0.05,142.5,42.75,68,Seniors,3,2024-08-01,Autumn,6,Online,Online,East,Online Payment,Standard
ORD2073,Socks,Clothing,Footwear,12,8,0.1,86.4,25.92,32,Young Adults,2,2024-08-05,Autumn,3,Downtown,Flagship,North,Credit Card,Express
ORD2074,Refrigerator,Home Goods,Appliance,800,1,0.15,680,204,55,Professionals,4,2024-08-05,Autumn,5,Suburban,Mall,South,Debit Card,Standard
ORD2075,Heels,Clothing,Footwear,60,2,0,120,36,72,Seniors,5,2024-08-10,Autumn,7,Rural,Outlet,West,Cash,Standard
ORD2076,Oven,Home Goods,Appliance,500,1,0.05,475,142.5,29,Young Adults,3,2024-08-10,Autumn,2,Online,Online,East,Online Payment,Express
ORD2077,Trainers,Clothing,Footwear,75,1,0.1,67.5,20.25,40,Professionals,4,2024-08-15,Autumn,4,Downtown,Flagship,North,Credit Card,Standard
ORD2078,Washing Machine,Home Goods,Appliance,600,1,0.15,510,153,61,Seniors,3,2024-08-15,Autumn,6,Suburban,Mall,South,Debit Card,Standard
ORD2079,Flats,Clothing,Footwear,55,2,0,110,33,25,Young Adults,2,2024-08-20,Autumn,3,Rural,Outlet,West,Cash,Express
